DATECOLLECTED,SAMPLELOCATIONSMASTER,SAMPLENO,FINALRESULT,daily_flow_rate_m3
5/25/2022,AU_Beachlands,22EV3377-001-0,Detected,NULL
6/1/2022,AU_Beachlands,22EV3524-001-0,Detected,NULL
6/8/2022,AU_Beachlands,22EV3698-001-0,Detected,NULL
6/15/2022,AU_Beachlands,22EV3788-001-0,Detected,NULL
6/22/2022,AU_Beachlands,22EV3935-001-0,Detected,NULL
6/29/2022,AU_Beachlands,22EV4091-001-0,Detected,NULL
7/6/2022,AU_Beachlands,22EV4246-001-0,Detected,NULL
11/10/2021,AU_ClarksBeach,21EV3413-001-0,Detected,NULL
11/24/2021,AU_ClarksBeach,21EV3725-001-0,Detected,NULL
12/1/2021,AU_ClarksBeach,21EV3903-001-0,Detected,NULL
2/16/2022,AU_ClarksBeach,22EV1199-001-0,Detected,NULL
2/23/2022,AU_ClarksBeach,22EV1340-001-0,Detected,NULL
3/2/2022,AU_ClarksBeach,22EV1537-001-0,Detected,NULL
3/9/2022,AU_ClarksBeach,22EV1677-001-0,Detected,NULL
3/16/2022,AU_ClarksBeach,22EV1864-001-0,Detected,NULL
3/23/2022,AU_ClarksBeach,22EV2022-001-0,Detected,NULL
3/30/2022,AU_ClarksBeach,22EV2184-001-0,Detected,NULL
4/6/2022,AU_ClarksBeach,22EV2343-001-0,Detected,NULL
4/13/2022,AU_ClarksBeach,22EV2531-001-0,Detected,NULL
4/20/2022,AU_ClarksBeach,22EV2594-001-0,Detected,NULL
4/27/2022,AU_ClarksBeach,22EV2771-001-0,Detected,NULL
5/4/2022,AU_ClarksBeach,22EV2898-001-0,Detected,NULL
5/11/2022,AU_ClarksBeach,22EV3064-001-0,Detected,NULL
5/18/2022,AU_ClarksBeach,22EV3217-001-0,Detected,NULL
5/25/2022,AU_ClarksBeach,22EV3419-001-0,Detected,NULL
6/1/2022,AU_ClarksBeach,22EV3525-001-0,Detected,NULL
6/8/2022,AU_ClarksBeach,22EV3633-001-0,Detected,NULL
6/15/2022,AU_ClarksBeach,22EV3789-001-0,Detected,NULL
6/29/2022,AU_ClarksBeach,22EV4132-001-0,Detected,NULL
7/6/2022,AU_ClarksBeach,22EV4247-001-0,Detected,NULL
4/21/2021,AU_Eastern,21EV0492-001-0,Detected,NULL
8/16/2021,AU_Eastern,21EV1207-001-0,Detected,NULL
8/20/2021,AU_Eastern,21EV1284-001-0,Detected,NULL
8/21/2021,AU_Eastern,21EV1307-001-0,Detected,NULL
8/22/2021,AU_Eastern,21EV1326-001-0,Detected,NULL
8/23/2021,AU_Eastern,21EV1334-001-0,Detected,NULL
8/26/2021,AU_Eastern,21EV1480-001-0,Detected,NULL
8/27/2021,AU_Eastern,21EV1526-001-0,Detected,NULL
8/30/2021,AU_Eastern,21EV1575-001-0,Detected,NULL
8/31/2021,AU_Eastern,21EV1641-001-0,Detected,NULL
9/2/2021,AU_Eastern,21EV1681-001-0,Detected,NULL
9/3/2021,AU_Eastern,21EV1724-001-0,Detected,NULL
9/6/2021,AU_Eastern,21EV1776-001-0,Detected,NULL
9/8/2021,AU_Eastern,21EV1815-001-0,Detected,NULL
9/10/2021,AU_Eastern,21EV1877-001-0,Detected,NULL
9/13/2021,AU_Eastern,21EV1892-001-0,Detected,NULL
9/15/2021,AU_Eastern,21EV1967-001-0,Detected,NULL
9/17/2021,AU_Eastern,21EV2102-001-0,Detected,NULL
9/20/2021,AU_Eastern,21EV2045-001-0,Detected,NULL
9/22/2021,AU_Eastern,21EV2106-001-0,Detected,NULL
9/24/2021,AU_Eastern,21EV2164-001-0,Detected,NULL
9/27/2021,AU_Eastern,21EV2195-001-0,Detected,NULL
9/29/2021,AU_Eastern,21EV2238-001-0,Detected,NULL
10/4/2021,AU_Eastern,21EV2321-001-0,Detected,NULL
10/6/2021,AU_Eastern,21EV2405-001-0,Detected,NULL
10/8/2021,AU_Eastern,21EV2473-001-0,Detected,NULL
10/11/2021,AU_Eastern,21EV2510-001-0,Detected,NULL
10/13/2021,AU_Eastern,21EV2586-001-0,Detected,NULL
10/15/2021,AU_Eastern,21EV2654-001-0,Detected,NULL
10/18/2021,AU_Eastern,21EV2679-001-0,Detected,NULL
10/21/2021,AU_Eastern,21EV2790-001-0,Detected,NULL
10/27/2021,AU_Eastern,21EV2870-001-0,Detected,NULL
11/1/2021,AU_Eastern,21EV3009-001-0,Detected,NULL
11/4/2021,AU_Eastern,21EV3150-001-0,Detected,NULL
11/8/2021,AU_Eastern,21EV3195-001-0,Detected,NULL
11/18/2021,AU_Eastern,21EV3542-001-0,Detected,NULL
11/22/2021,AU_Eastern,21EV3628-001-0,Detected,NULL
12/8/2021,AU_Eastern,21EV4082-001-0,Detected,NULL
12/15/2021,AU_Eastern,21EV4293-001-0,Detected,NULL
12/22/2021,AU_Eastern,21EV4436-001-0,Detected,NULL
12/29/2021,AU_Eastern,21EV4506-001-0,Detected,NULL
1/25/2022,AU_Eastern,22EV0517-001-0,Detected,NULL
2/1/2022,AU_Eastern,22EV0792-001-0,Detected,NULL
2/23/2022,AU_Eastern,22EV1376-001-0,Detected,NULL
2/28/2022,AU_Eastern,22EV1449-001-0,Detected,NULL
3/7/2022,AU_Eastern,22EV1591-001-0,Detected,NULL
3/9/2022,AU_Eastern,22EV1671-001-0,Detected,NULL
3/11/2022,AU_Eastern,22EV1761-001-0,Detected,NULL
3/14/2022,AU_Eastern,22EV1766-001-0,Detected,NULL
3/16/2022,AU_Eastern,22EV1859-001-0,Detected,NULL
3/21/2022,AU_Eastern,22EV1925-001-0,Detected,NULL
3/23/2022,AU_Eastern,22EV2017-001-0,Detected,NULL
3/28/2022,AU_Eastern,22EV2086-001-0,Detected,NULL
3/30/2022,AU_Eastern,22EV2179-001-0,Detected,NULL
4/4/2022,AU_Eastern,22EV2271-001-0,Detected,NULL
4/6/2022,AU_Eastern,22EV2339-001-0,Detected,NULL
4/11/2022,AU_Eastern,22EV2518-001-0,Detected,NULL
4/13/2022,AU_Eastern,22EV2527-001-0,Detected,NULL
4/18/2022,AU_Eastern,22EV2591-001-0,Detected,NULL
4/20/2022,AU_Eastern,22EV2640-001-0,Detected,NULL
4/25/2022,AU_Eastern,22EV2694-001-0,Detected,NULL
4/27/2022,AU_Eastern,22EV2762-001-0,Detected,NULL
5/2/2022,AU_Eastern,22EV2882-001-0,Detected,NULL
5/9/2022,AU_Eastern,22EV2998-001-0,Detected,NULL
5/11/2022,AU_Eastern,22EV3060-001-0,Detected,NULL
5/16/2022,AU_Eastern,22EV3159-001-0,Detected,NULL
5/18/2022,AU_Eastern,22EV3212-001-0,Detected,NULL
5/23/2022,AU_Eastern,22EV3370-001-0,Detected,NULL
5/25/2022,AU_Eastern,22EV3371-001-0,Detected,NULL
5/30/2022,AU_Eastern,22EV3498-001-0,Detected,NULL
6/1/2022,AU_Eastern,22EV3520-001-0,Detected,NULL
6/6/2022,AU_Eastern,22EV3599-001-0,Detected,NULL
6/8/2022,AU_Eastern,22EV3629-001-0,Detected,NULL
6/13/2022,AU_Eastern,22EV3737-001-0,Detected,NULL
6/15/2022,AU_Eastern,22EV3784-001-0,Detected,NULL
6/20/2022,AU_Eastern,22EV3917-001-0,Detected,NULL
6/22/2022,AU_Eastern,22EV3932-001-0,Detected,NULL
6/29/2022,AU_Eastern,22EV4059-001-0,Detected,NULL
7/4/2022,AU_Eastern,22EV4141-001-0,Detected,NULL
9/16/2021,AU_Eastern_OrMH15,21EV2009-001-0,Detected,NULL
9/17/2021,AU_Eastern_OrMH15,21EV2028-001-0,Detected,NULL
9/20/2021,AU_Eastern_OrMH15,21EV2048-001-0,Detected,NULL
9/22/2021,AU_Eastern_OrMH15,21EV2113-001-0,Detected,NULL
9/29/2021,AU_Eastern_OrMH15,21EV2245-001-0,Detected,NULL
10/1/2021,AU_Eastern_OrMH15,21EV2300-001-0,Detected,NULL
10/4/2021,AU_Eastern_OrMH15,21EV2328-001-0,Detected,NULL
10/6/2021,AU_Eastern_OrMH15,21EV2412-001-0,Detected,NULL
10/8/2021,AU_Eastern_OrMH15,21EV2477-001-0,Detected,NULL
10/11/2021,AU_Eastern_OrMH15,21EV2514-001-0,Detected,NULL
10/13/2021,AU_Eastern_OrMH15,21EV2590-001-0,Detected,NULL
10/15/2021,AU_Eastern_OrMH15,21EV2658-001-0,Detected,NULL
10/18/2021,AU_Eastern_OrMH15,21EV2683-001-0,Detected,NULL
10/21/2021,AU_Eastern_OrMH15,21EV2793-001-0,Detected,NULL
10/25/2021,AU_Eastern_OrMH15,21EV2830-001-0,Detected,NULL
1/24/2022,AU_Eastern_OrMH15,22EV0457-001-0,Detected,NULL
5/13/2021,AU_Eastern_PS28,21EV0592-001-0,Detected,NULL
8/22/2021,AU_Eastern_PS28,21EV1332-001-0,Detected,NULL
8/23/2021,AU_Eastern_PS28,21EV1339-001-0,Detected,NULL
8/25/2021,AU_Eastern_PS28,21EV1439-001-0,Detected,NULL
8/27/2021,AU_Eastern_PS28,21EV1531-001-0,Detected,NULL
8/30/2021,AU_Eastern_PS28,21EV1580-001-0,Detected,NULL
9/1/2021,AU_Eastern_PS28,21EV1667-001-0,Detected,NULL
9/13/2021,AU_Eastern_PS28,21EV1898-001-0,Detected,NULL
10/6/2021,AU_Eastern_PS28,21EV2410-001-0,Detected,NULL
10/8/2021,AU_Eastern_PS28,21EV2481-001-0,Detected,NULL
10/11/2021,AU_Eastern_PS28,21EV2518-001-0,Detected,NULL
10/13/2021,AU_Eastern_PS28,21EV2594-001-0,Detected,NULL
10/15/2021,AU_Eastern_PS28,21EV2662-001-0,Detected,NULL
10/18/2021,AU_Eastern_PS28,21EV2687-001-0,Detected,NULL
10/21/2021,AU_Eastern_PS28,21EV2797-001-0,Detected,NULL
10/25/2021,AU_Eastern_PS28,21EV2834-001-0,Detected,NULL
11/1/2021,AU_Eastern_PS28,21EV3015-001-0,Detected,NULL
11/4/2021,AU_Eastern_PS28,21EV3154-001-0,Detected,NULL
11/8/2021,AU_Eastern_PS28,21EV3200-001-0,Detected,NULL
9/22/2021,AU_Eastern_SoMH19,21EV2114-001-0,Detected,NULL
9/27/2021,AU_Eastern_SoMH19,21EV2203-001-0,Detected,NULL
9/29/2021,AU_Eastern_SoMH19,21EV2246-001-0,Detected,NULL
10/1/2021,AU_Eastern_SoMH19,21EV2301-001-0,Detected,NULL
10/6/2021,AU_Eastern_SoMH19,21EV2413-001-0,Detected,NULL
10/8/2021,AU_Eastern_SoMH19,21EV2478-001-0,Detected,NULL
10/11/2021,AU_Eastern_SoMH19,21EV2515-001-0,Detected,NULL
10/13/2021,AU_Eastern_SoMH19,21EV2591-001-0,Detected,NULL
10/15/2021,AU_Eastern_SoMH19,21EV2659-001-0,Detected,NULL
10/18/2021,AU_Eastern_SoMH19,21EV2684-001-0,Detected,NULL
10/21/2021,AU_Eastern_SoMH19,21EV2794-001-0,Detected,NULL
10/25/2021,AU_Eastern_SoMH19,21EV2831-001-0,Detected,NULL
3/10/2021,AU_Eastern_SoMH2,21EV0287-001-0,Detected,NULL
8/19/2021,AU_Eastern_SoMH2,21EV1247-001-0,Detected,NULL
8/20/2021,AU_Eastern_SoMH2,21EV1286-001-0,Detected,NULL
8/21/2021,AU_Eastern_SoMH2,21EV1302-001-0,Detected,NULL
8/22/2021,AU_Eastern_SoMH2,21EV1329-001-0,Detected,NULL
8/23/2021,AU_Eastern_SoMH2,21EV1336-001-0,Detected,NULL
8/25/2021,AU_Eastern_SoMH2,21EV1436-001-0,Detected,NULL
8/27/2021,AU_Eastern_SoMH2,21EV1528-001-0,Detected,NULL
8/30/2021,AU_Eastern_SoMH2,21EV1577-001-0,Detected,NULL
9/3/2021,AU_Eastern_SoMH2,21EV1759-001-0,Detected,NULL
9/5/2021,AU_Eastern_SoMH2,21EV1772-001-0,Detected,NULL
9/7/2021,AU_Eastern_SoMH2,21EV1790-001-0,Detected,NULL
9/8/2021,AU_Eastern_SoMH2,21EV1818-001-0,Detected,NULL
9/10/2021,AU_Eastern_SoMH2,21EV1880-001-0,Detected,NULL
9/13/2021,AU_Eastern_SoMH2,21EV1895-001-0,Detected,NULL
9/14/2021,AU_Eastern_SoMH2,21EV1931-001-0,Detected,NULL
9/20/2021,AU_Eastern_SoMH2,21EV2068-001-0,Detected,NULL
9/22/2021,AU_Eastern_SoMH2,21EV2109-001-0,Detected,NULL
9/24/2021,AU_Eastern_SoMH2,21EV2174-001-0,Detected,NULL
9/27/2021,AU_Eastern_SoMH2,21EV2201-001-0,Detected,NULL
9/29/2021,AU_Eastern_SoMH2,21EV2244-001-0,Detected,NULL
10/1/2021,AU_Eastern_SoMH2,21EV2299-001-0,Detected,NULL
10/6/2021,AU_Eastern_SoMH2,21EV2411-001-0,Detected,NULL
10/8/2021,AU_Eastern_SoMH2,21EV2476-001-0,Detected,NULL
10/11/2021,AU_Eastern_SoMH2,21EV2513-001-0,Detected,NULL
10/13/2021,AU_Eastern_SoMH2,21EV2589-001-0,Detected,NULL
10/15/2021,AU_Eastern_SoMH2,21EV2657-001-0,Detected,NULL
10/21/2021,AU_Eastern_SoMH2,21EV2792-001-0,Detected,NULL
10/25/2021,AU_Eastern_SoMH2,21EV2829-001-0,Detected,NULL
1/24/2022,AU_Eastern_SoMH2,22EV0456-001-0,Detected,NULL
10/5/2021,AU_Helensville,21EV2396-001-0,Detected,NULL
10/7/2021,AU_Helensville,21EV2470-001-0,Detected,NULL
10/19/2021,AU_Helensville,21EV2754-001-0,Detected,NULL
10/21/2021,AU_Helensville,21EV2837-001-0,Detected,NULL
11/4/2021,AU_Helensville,21EV3203-001-0,Detected,NULL
11/23/2021,AU_Helensville,21EV3726-001-0,Detected,NULL
12/7/2021,AU_Helensville,21EV4041-001-0,Detected,NULL
2/22/2022,AU_Helensville,22EV1289-001-0,Detected,NULL
3/1/2022,AU_Helensville,22EV1477-001-0,Detected,NULL
3/8/2022,AU_Helensville,22EV1678-001-0,Detected,NULL
6/14/2022,AU_Helensville,22EV3808-001-0,Detected,NULL
10/20/2021,AU_KawakawaBay,21EV2747-001-0,Detected,NULL
11/10/2021,AU_KawakawaBay,21EV3397-001-0,Detected,NULL
11/24/2021,AU_KawakawaBay,21EV3727-001-0,Detected,NULL
12/1/2021,AU_KawakawaBay,21EV3904-001-0,Detected,NULL
12/8/2021,AU_KawakawaBay,21EV4134-001-0,Detected,NULL
1/19/2022,AU_KawakawaBay,22EV0428-001-0,Detected,NULL
1/26/2022,AU_KawakawaBay,22EV0569-001-0,Detected,NULL
2/23/2022,AU_KawakawaBay,22EV1341-001-0,Detected,NULL
3/2/2022,AU_KawakawaBay,22EV1538-001-0,Detected,NULL
3/9/2022,AU_KawakawaBay,22EV1679-001-0,Detected,NULL
3/16/2022,AU_KawakawaBay,22EV1865-001-0,Detected,NULL
3/23/2022,AU_KawakawaBay,22EV2023-001-0,Detected,NULL
3/30/2022,AU_KawakawaBay,22EV2185-001-0,Detected,NULL
4/6/2022,AU_KawakawaBay,22EV2344-001-0,Detected,NULL
4/13/2022,AU_KawakawaBay,22EV2532-001-0,Detected,NULL
4/20/2022,AU_KawakawaBay,22EV2644-001-0,Detected,NULL
4/27/2022,AU_KawakawaBay,22EV2766-001-0,Detected,NULL
5/4/2022,AU_KawakawaBay,22EV2899-001-0,Detected,NULL
5/11/2022,AU_KawakawaBay,22EV3065-001-0,Detected,NULL
5/18/2022,AU_KawakawaBay,22EV3218-001-0,Detected,NULL
5/25/2022,AU_KawakawaBay,22EV3378-001-0,Detected,NULL
6/1/2022,AU_KawakawaBay,22EV3526-001-0,Detected,NULL
6/8/2022,AU_KawakawaBay,22EV3697-001-0,Detected,NULL
6/15/2022,AU_KawakawaBay,22EV3790-001-0,Detected,NULL
6/22/2022,AU_KawakawaBay,22EV3936-001-0,Detected,NULL
6/29/2022,AU_KawakawaBay,22EV4092-001-0,Detected,NULL
7/6/2022,AU_KawakawaBay,22EV4248-001-0,Detected,NULL
3/2/2022,AU_Kingseat,22EV1539-001-0,Detected,NULL
3/9/2022,AU_Kingseat,22EV1680-001-0,Detected,NULL
4/20/2022,AU_Kingseat,22EV2595-001-0,Detected,NULL
4/27/2022,AU_Kingseat,22EV2772-001-0,Detected,NULL
5/4/2022,AU_Kingseat,22EV2900-001-0,Detected,NULL
5/11/2022,AU_Kingseat,22EV3066-001-0,Detected,NULL
5/18/2022,AU_Kingseat,22EV3219-001-0,Detected,NULL
5/25/2022,AU_Kingseat,22EV3379-001-0,Detected,NULL
6/1/2022,AU_Kingseat,22EV3527-001-0,Detected,NULL
6/8/2022,AU_Kingseat,22EV3634-001-0,Detected,NULL
7/6/2022,AU_Kingseat,22EV4249-001-0,Detected,NULL
1/24/2022,AU_Mangere,22EV0458-001-0,Detected,NULL
1/25/2022,AU_Mangere,22EV0520-001-0,Detected,NULL
2/9/2022,AU_Mangere,22EV0952-001-0,Detected,NULL
2/16/2022,AU_Mangere,22EV1140-001-0,Detected,NULL
2/23/2022,AU_Mangere,22EV1378-001-0,Detected,NULL
3/9/2022,AU_Mangere,22EV1674-001-0,Detected,NULL
3/16/2022,AU_Mangere,22EV1862-001-0,Detected,NULL
3/23/2022,AU_Mangere,22EV2020-001-0,Detected,NULL
3/30/2022,AU_Mangere,22EV2182-001-0,Detected,NULL
4/6/2022,AU_Mangere,22EV2348-001-0,Detected,NULL
4/13/2022,AU_Mangere,22EV2529-001-0,Detected,NULL
4/18/2022,AU_Mangere,22EV2593-001-0,Detected,NULL
4/20/2022,AU_Mangere,22EV2686-001-0,Detected,NULL
4/27/2022,AU_Mangere,22EV2764-001-0,Detected,NULL
5/18/2022,AU_Mangere,22EV3215-001-0,Detected,NULL
5/25/2022,AU_Mangere,22EV3376-001-0,Detected,NULL
6/1/2022,AU_Mangere,22EV3523-001-0,Detected,NULL
6/8/2022,AU_Mangere,22EV3632-001-0,Detected,NULL
6/15/2022,AU_Mangere,22EV3787-001-0,Detected,NULL
6/20/2022,AU_Mangere,22EV3916-001-0,Detected,NULL
6/29/2022,AU_Mangere,22EV4063-001-0,Detected,NULL
7/4/2022,AU_Mangere,22EV4143-001-0,Detected,NULL
10/7/2021,AU_Omaha,21EV2461-001-0,Detected,NULL
10/26/2021,AU_Omaha,21EV2877-001-0,Detected,202
10/28/2021,AU_Omaha,21EV2949-001-0,Detected,NULL
11/2/2021,AU_Omaha,21EV3097-001-0,Detected,195
11/4/2021,AU_Omaha,21EV3155-001-0,Detected,NULL
11/11/2021,AU_Omaha,21EV3290-001-0,Detected,NULL
11/16/2021,AU_Omaha,21EV3516-001-0,Detected,184
11/23/2021,AU_Omaha,21EV3734-001-0,Detected,178
12/7/2021,AU_Omaha,21EV4045-001-0,Detected,184
2/22/2022,AU_Omaha,22EV1290-001-0,Detected,184
3/1/2022,AU_Omaha,22EV1478-001-0,Detected,189
3/8/2022,AU_Omaha,22EV1681-001-0,Detected,184
3/15/2022,AU_Omaha,22EV1866-001-0,Detected,NULL
3/22/2022,AU_Omaha,22EV2010-001-0,Detected,NULL
3/29/2022,AU_Omaha,22EV2187-001-0,Detected,NULL
4/5/2022,AU_Omaha,22EV2357-001-0,Detected,NULL
4/12/2022,AU_Omaha,22EV2521-001-0,Detected,NULL
4/19/2022,AU_Omaha,22EV2596-001-0,Detected,NULL
4/26/2022,AU_Omaha,22EV2730-001-0,Detected,NULL
5/3/2022,AU_Omaha,22EV2901-001-0,Detected,NULL
5/10/2022,AU_Omaha,22EV3067-001-0,Detected,NULL
5/17/2022,AU_Omaha,22EV3162-001-0,Detected,NULL
5/24/2022,AU_Omaha,22EV3380-001-0,Detected,NULL
5/31/2022,AU_Omaha,22EV3528-001-0,Detected,NULL
6/7/2022,AU_Omaha,22EV3635-001-0,Detected,NULL
6/14/2022,AU_Omaha,22EV3812-001-0,Detected,NULL
6/20/2022,AU_Omaha,22EV3920-001-0,Detected,NULL
6/28/2022,AU_Omaha,22EV4064-001-0,Detected,NULL
7/5/2022,AU_Omaha,22EV4210-001-0,Detected,NULL
9/8/2021,AU_Pukekohe,21EV1822-001-0,Detected,10843.27
9/15/2021,AU_Pukekohe,21EV2008-001-0,Detected,16215.63
9/17/2021,AU_Pukekohe,21EV2043-001-0,Detected,15644.55
10/8/2021,AU_Pukekohe,21EV2482-001-0,Detected,11336.18
10/13/2021,AU_Pukekohe,21EV2582-001-0,Detected,13272.38
10/15/2021,AU_Pukekohe,21EV2651-001-0,Detected,11449.28
10/20/2021,AU_Pukekohe,21EV2756-001-0,Detected,11543.84
11/3/2021,AU_Pukekohe,21EV3098-001-0,Detected,12804.08
11/12/2021,AU_Pukekohe,21EV3415-001-0,Detected,11812.35
11/17/2021,AU_Pukekohe,21EV3521-001-0,Detected,13458.6
11/24/2021,AU_Pukekohe,21EV3729-001-0,Detected,11505.6
12/1/2021,AU_Pukekohe,21EV3907-001-0,Detected,15553.19
12/8/2021,AU_Pukekohe,21EV4136-001-0,Detected,14983.76
12/29/2021,AU_Pukekohe,21EV4511-001-0,Detected,7379.45
1/5/2022,AU_Pukekohe,22EV0073-001-0,Detected,9038.87
1/26/2022,AU_Pukekohe,22EV0571-001-0,Detected,8966.57
2/2/2022,AU_Pukekohe,22EV0765-001-0,Detected,9196.4
2/7/2022,AU_Pukekohe,22EV0887-001-0,Detected,10769.53
2/9/2022,AU_Pukekohe,22EV0959-001-0,Detected,9615.32
2/14/2022,AU_Pukekohe,22EV1147-001-0,Detected,11049.27
2/16/2022,AU_Pukekohe,22EV1201-001-0,Detected,10470.69
2/21/2022,AU_Pukekohe,22EV1291-001-0,Detected,7856.75
2/23/2022,AU_Pukekohe,22EV1343-001-0,Detected,10385.76
2/28/2022,AU_Pukekohe,22EV1454-001-0,Detected,8641.59
3/2/2022,AU_Pukekohe,22EV1540-001-0,Detected,8264.16
3/7/2022,AU_Pukekohe,22EV1595-001-0,Detected,8757.11
3/9/2022,AU_Pukekohe,22EV1682-001-0,Detected,8504.68
3/14/2022,AU_Pukekohe,22EV1770-001-0,Detected,NULL
3/16/2022,AU_Pukekohe,22EV1867-001-0,Detected,NULL
3/21/2022,AU_Pukekohe,22EV1930-001-0,Detected,NULL
3/23/2022,AU_Pukekohe,22EV2025-001-0,Detected,NULL
3/28/2022,AU_Pukekohe,22EV2090-001-0,Detected,NULL
3/30/2022,AU_Pukekohe,22EV2188-001-0,Detected,NULL
4/4/2022,AU_Pukekohe,22EV2275-001-0,Detected,NULL
4/6/2022,AU_Pukekohe,22EV2346-001-0,Detected,NULL
4/13/2022,AU_Pukekohe,22EV2534-001-0,Detected,NULL
4/20/2022,AU_Pukekohe,22EV2597-001-0,Detected,NULL
4/27/2022,AU_Pukekohe,22EV2773-001-0,Detected,NULL
5/4/2022,AU_Pukekohe,22EV2902-001-0,Detected,NULL
5/11/2022,AU_Pukekohe,22EV3068-001-0,Detected,NULL
5/18/2022,AU_Pukekohe,22EV3220-001-0,Detected,NULL
5/25/2022,AU_Pukekohe,22EV3420-001-0,Detected,NULL
6/1/2022,AU_Pukekohe,22EV3529-001-0,Detected,NULL
6/8/2022,AU_Pukekohe,22EV3636-001-0,Detected,NULL
6/15/2022,AU_Pukekohe,22EV3792-001-0,Detected,NULL
6/22/2022,AU_Pukekohe,22EV3937-001-0,Detected,NULL
6/29/2022,AU_Pukekohe,22EV4094-001-0,Detected,NULL
7/6/2022,AU_Pukekohe,22EV4250-001-0,Detected,NULL
8/16/2021,AU_Rosedale,21EV1209-001-0,Detected,NULL
8/17/2021,AU_Rosedale,21EV1225-001-0,Detected,NULL
8/18/2021,AU_Rosedale,21EV1226-001-0,Detected,NULL
8/19/2021,AU_Rosedale,21EV1246-001-0,Detected,NULL
8/21/2021,AU_Rosedale,21EV1306-001-0,Detected,NULL
8/22/2021,AU_Rosedale,21EV1328-001-0,Detected,NULL
8/25/2021,AU_Rosedale,21EV1482-001-0,Detected,NULL
8/26/2021,AU_Rosedale,21EV1483-001-0,Detected,NULL
8/27/2021,AU_Rosedale,21EV1533-001-0,Detected,NULL
9/3/2021,AU_Rosedale,21EV1726-001-0,Detected,NULL
9/22/2021,AU_Rosedale,21EV2108-001-0,Detected,NULL
9/25/2021,AU_Rosedale,21EV2168-001-0,Detected,NULL
9/27/2021,AU_Rosedale,21EV2197-001-0,Detected,NULL
9/29/2021,AU_Rosedale,21EV2240-001-0,Detected,NULL
10/1/2021,AU_Rosedale,21EV2295-001-0,Detected,NULL
